"unit_testing","Unit Testing",2,"moderate","unknown","developer;tester"
"performance_analysis","Performance Analysis",2,"moderate","unknown","optimizer;code-reviewer"
"caching_strategy","Caching Strategy",2,"moderate","unknown","optimizer;performance-engineer"
"incident_response","Incident Response",2,"moderate","unknown","devops;security-specialist"
"sprint_planning","Sprint Planning",2,"moderate","unknown","project-manager;scrum-master"
"market_analysis","Market Analysis",2,"moderate","unknown","product-owner;analyst"
"competitive_analysis","Competitive Analysis",2,"moderate","unknown","product-owner;analyst"
"code_review","Code Review",2,"moderate","unknown","adversarial-reviewer;code-reviewer"
"system_design","System Design",1,"moderate","unknown","architect"
"architecture_decisions","Architecture Decisions",1,"moderate","unknown","architect"
"adr_creation","Adr Creation",1,"moderate","unknown","architect"
"data_modeling","Data Modeling",1,"moderate","unknown","architect"
"technology_evaluation","Technology Evaluation",1,"moderate","unknown","architect"
"scalability_planning","Scalability Planning",1,"moderate","unknown","architect"
"code_writing","Code Writing",1,"moderate","unknown","developer"
"typescript_expert","Typescript Expert",1,"moderate","unknown","developer"
"feature_implementation","Feature Implementation",1,"moderate","unknown","developer"
"refactoring","Refactoring",1,"moderate","unknown","developer"
"integration","Integration",1,"moderate","unknown","developer"
"bug_diagnosis","Bug Diagnosis",1,"moderate","unknown","debugger"
"root_cause_analysis","Root Cause Analysis",1,"moderate","unknown","debugger"
"error_investigation","Error Investigation",1,"moderate","unknown","debugger"
"log_analysis","Log Analysis",1,"moderate","unknown","debugger"
"performance_debugging","Performance Debugging",1,"moderate","unknown","debugger"
"hotfix_generation","Hotfix Generation",1,"moderate","unknown","debugger"
"code_optimization","Code Optimization",1,"moderate","unknown","optimizer"
"profiling","Profiling",1,"moderate","unknown","optimizer"
"query_optimization","Query Optimization",1,"moderate","unknown","optimizer"
"bundle_optimization","Bundle Optimization",1,"moderate","unknown","optimizer"
"e2e_testing","E2e Testing",1,"moderate","unknown","tester"
"test_coverage","Test Coverage",1,"moderate","unknown","tester"
"bug_reproduction","Bug Reproduction",1,"moderate","unknown","tester"
"smoke_testing","Smoke Testing",1,"moderate","unknown","tester"
"acceptance_testing","Acceptance Testing",1,"moderate","unknown","tester"
"deployment","Deployment",1,"moderate","unknown","devops"
"ci_cd","Ci Cd",1,"moderate","unknown","devops"
"infrastructure","Infrastructure",1,"moderate","unknown","devops"
"monitoring","Monitoring",1,"moderate","unknown","devops"
"component_styling","Component Styling",1,"moderate","unknown","ui-developer"
"tailwind_css","Tailwind Css",1,"moderate","unknown","ui-developer"
"responsive_design","Responsive Design",1,"moderate","unknown","ui-developer"
"accessibility","Accessibility",1,"moderate","unknown","ui-developer"
"animation","Animation",1,"moderate","unknown","ui-developer"
"css_optimization","Css Optimization",1,"moderate","unknown","ui-developer"
"user_flows","User Flows",1,"moderate","unknown","ux-designer"
"wireframes","Wireframes",1,"moderate","unknown","ux-designer"
"usability","Usability",1,"moderate","unknown","ux-designer"
"user_research","User Research",1,"moderate","unknown","ux-designer"
"prototyping","Prototyping",1,"moderate","unknown","ux-designer"
"user_testing","User Testing",1,"moderate","unknown","ux-designer"
"requirements","Requirements",1,"moderate","unknown","business-analyst"
"user_stories","User Stories",1,"moderate","unknown","business-analyst"
"business_logic","Business Logic",1,"moderate","unknown","business-analyst"
"kpis","Kpis",1,"moderate","unknown","business-analyst"
"process_modeling","Process Modeling",1,"moderate","unknown","business-analyst"
"stakeholder_management","Stakeholder Management",1,"moderate","unknown","business-analyst"
"coordination","Coordination",1,"moderate","unknown","project-manager"
"tracking","Tracking",1,"moderate","unknown","project-manager"
"risk_management","Risk Management",1,"moderate","unknown","project-manager"
"resource_allocation","Resource Allocation",1,"moderate","unknown","project-manager"
"stakeholder_communication","Stakeholder Communication",1,"moderate","unknown","project-manager"
"strategy","Strategy",1,"moderate","unknown","product-owner"
"roadmap","Roadmap",1,"moderate","unknown","product-owner"
"prioritization","Prioritization",1,"moderate","unknown","product-owner"
"backlog_management","Backlog Management",1,"moderate","unknown","scrum-master"
"agile_ceremonies","Agile Ceremonies",1,"moderate","unknown","scrum-master"
"impediment_resolution","Impediment Resolution",1,"moderate","unknown","scrum-master"
"velocity_tracking","Velocity Tracking",1,"moderate","unknown","scrum-master"
"retrospective_facilitation","Retrospective Facilitation",1,"moderate","unknown","scrum-master"
"story_estimation","Story Estimation",1,"moderate","unknown","scrum-master"
"team_coaching","Team Coaching",1,"moderate","unknown","scrum-master"
"security_audit","Security Audit",1,"moderate","unknown","security-specialist"
"vulnerability_scanning","Vulnerability Scanning",1,"moderate","unknown","security-specialist"
"threat_modeling","Threat Modeling",1,"moderate","unknown","security-specialist"
"auth_authorization_review","Auth Authorization Review",1,"moderate","unknown","security-specialist"
"data_protection","Data Protection",1,"moderate","unknown","security-specialist"
"dependency_audit","Dependency Audit",1,"moderate","unknown","security-specialist"
"owasp_compliance","Owasp Compliance",1,"moderate","unknown","security-specialist"
"security_testing","Security Testing",1,"moderate","unknown","security-specialist"
"performance_profiling","Performance Profiling",1,"moderate","unknown","performance-engineer"
"optimization","Optimization",1,"moderate","unknown","performance-engineer"
"load_testing","Load Testing",1,"moderate","unknown","performance-engineer"
"database_tuning","Database Tuning",1,"moderate","unknown","performance-engineer"
"frontend_performance","Frontend Performance",1,"moderate","unknown","performance-engineer"
"backend_performance","Backend Performance",1,"moderate","unknown","performance-engineer"
"capacity_planning","Capacity Planning",1,"moderate","unknown","performance-engineer"
"monitoring_setup","Monitoring Setup",1,"moderate","unknown","performance-engineer"
"database_design","Database Design",1,"moderate","unknown","data-architect"
"schema_modeling","Schema Modeling",1,"moderate","unknown","data-architect"
"data_migration","Data Migration",1,"moderate","unknown","data-architect"
"database_normalization","Database Normalization",1,"moderate","unknown","data-architect"
"index_optimization","Index Optimization",1,"moderate","unknown","data-architect"
"data_integrity","Data Integrity",1,"moderate","unknown","data-architect"
"backup_recovery","Backup Recovery",1,"moderate","unknown","data-architect"
"data_lifecycle","Data Lifecycle",1,"moderate","unknown","data-architect"
"relationship_design","Relationship Design",1,"moderate","unknown","data-architect"
"api_design","Api Design",1,"moderate","unknown","api-designer"
"rest_api","Rest Api",1,"moderate","unknown","api-designer"
"openapi_spec","Openapi Spec",1,"moderate","unknown","api-designer"
"graphql_design","Graphql Design",1,"moderate","unknown","api-designer"
"api_versioning","Api Versioning",1,"moderate","unknown","api-designer"
"request_validation","Request Validation",1,"moderate","unknown","api-designer"
"response_design","Response Design",1,"moderate","unknown","api-designer"
"error_handling","Error Handling",1,"moderate","unknown","api-designer"
"api_security","Api Security",1,"moderate","unknown","api-designer"
"rate_limiting","Rate Limiting",1,"moderate","unknown","api-designer"
"analysis","Analysis",1,"moderate","unknown","analyst"
"research","Research",1,"moderate","unknown","analyst"
"brainstorming","Brainstorming",1,"moderate","unknown","analyst"
"strategic_planning","Strategic Planning",1,"moderate","unknown","analyst"
"trend_analysis","Trend Analysis",1,"moderate","unknown","analyst"
"product_brief_creation","Product Brief Creation",1,"moderate","unknown","analyst"
"documentation","Documentation",1,"moderate","unknown","tech-writer"
"technical_writing","Technical Writing",1,"moderate","unknown","tech-writer"
"api_documentation","Api Documentation",1,"moderate","unknown","tech-writer"
"user_guides","User Guides",1,"moderate","unknown","tech-writer"
"readme_creation","Readme Creation",1,"moderate","unknown","tech-writer"
"release_notes","Release Notes",1,"moderate","unknown","tech-writer"
"architecture_docs","Architecture Docs",1,"moderate","unknown","tech-writer"
"tutorial_creation","Tutorial Creation",1,"moderate","unknown","tech-writer"
"test_strategy","Test Strategy",1,"moderate","unknown","test-architect"
"risk_based_testing","Risk Based Testing",1,"moderate","unknown","test-architect"
"quality_gates","Quality Gates",1,"moderate","unknown","test-architect"
"test_automation","Test Automation",1,"moderate","unknown","test-architect"
"release_readiness","Release Readiness",1,"moderate","unknown","test-architect"
"regression_analysis","Regression Analysis",1,"moderate","unknown","test-architect"
"test_maintenance","Test Maintenance",1,"moderate","unknown","test-architect"
"coverage_analysis","Coverage Analysis",1,"moderate","unknown","test-architect"
"adversarial_review","Adversarial Review",1,"moderate","unknown","adversarial-reviewer"
"security_review","Security Review",1,"moderate","unknown","adversarial-reviewer"
"design_review","Design Review",1,"moderate","unknown","adversarial-reviewer"
"performance_review","Performance Review",1,"moderate","unknown","adversarial-reviewer"
"issue_detection","Issue Detection",1,"moderate","unknown","adversarial-reviewer"
"critical_analysis","Critical Analysis",1,"moderate","unknown","adversarial-reviewer"
"security_analysis","Security Analysis",1,"moderate","unknown","code-reviewer"
"best_practices","Best Practices",1,"moderate","unknown","code-reviewer"
"test_coverage_analysis","Test Coverage Analysis",1,"moderate","unknown","code-reviewer"
"architecture_review","Architecture Review",1,"moderate","unknown","code-reviewer"
